Index,Name,Length,NumLanes,IsConnector,FromLink,FromPos,ToLink,ToPos
10096,,111.73468057792564,1,1,57,301.5307467979995,49,0.0
10097,,102.62302094647205,2,1,59,119.99859606094101,49,0.0
10098,,140.05673664901622,1,1,56,220.20510973657613,62,0.0
10099,,116.61907357044822,1,1,59,119.99859606094101,62,0.0
10100,,42.93476248907082,1,1,61,278.43689223060505,62,0.0
10101,,138.81375702091432,1,1,57,301.5307467979995,63,0.0
10102,,45.677671568128844,2,1,59,119.99859606094101,63,0.0
10103,,110.73040236924254,1,1,61,278.43689223060505,63,0.0
10104,,49.22686337841814,1,1,67,300.0000542670371,64,0.0
10105,,181.60753977022028,2,1,70,230.00032471926332,64,0.0
10106,,156.59038977342374,2,1,76,134.99940076508915,64,0.0
10107,,154.80572447573428,2,1,70,230.00032471926332,8,0.0
10108,,112.62873829932039,1,1,73,160.00143942781463,8,0.0
10109,,84.1094253887697,1,1,76,134.99940076508915,8,0.0
10110,,169.6025041696562,2,1,67,300.0000542670371,77,0.0
10111,,62.86079277990612,1,1,70,230.00032471926332,77,0.0
10112,,157.49344872289893,2,1,73,160.00143942781463,77,0.0
10113,,157.22031026273558,2,1,67,300.0000542670371,14,0.0
10114,,99.71974466147815,2,1,73,160.00143942781463,14,0.0
10115,,115.57420245930201,1,1,76,134.99940076508915,14,0.0
10116,Shallowford Rd.,16.903043372275256,2,1,68,628.0575800530299,134,0.0
10117,Shallowford Rd.,6.6180820869457495,2,1,65,581.4134025860927,135,0.0
10118,Gunbarrel Road,9.397859005716315,4,1,37,266.4371404280259,136,0.0
10119,,61.495952564639005,1,1,30,251.53387399938168,58,0.0
10120,,97.43970599891689,1,1,61,278.43689223060505,28,0.0
