timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
164.50,5,5_0,flow_0.16,271.86,13.89
164.50,5,5_0,flow_1.13,299.01,13.89
164.50,5,5_0,flow_0.15,334.08,13.89
164.50,5,5_0,flow_1.12,359.90,13.89
164.50,5,5_0,flow_0.14,395.21,13.89
164.50,5,5_0,flow_1.11,421.45,13.89
164.50,5,5_0,flow_0.13,455.79,13.89
164.50,5,5_0,flow_1.10,483.27,13.89
164.50,5,5_0,flow_0.12,517.70,13.89
164.50,5,5_0,flow_1.9,543.73,13.89
164.50,5,5_0,flow_0.11,577.87,13.89
164.50,5,5_0,flow_0.10,609.00,13.89
164.50,5,5_0,flow_1.8,635.42,13.89
164.50,5,5_0,flow_1.7,666.50,13.89
164.50,5,5_0,flow_0.9,700.12,13.89
164.50,5,5_0,flow_0.8,731.19,13.89
164.50,5,5_0,flow_1.6,757.10,13.89
164.50,5,5_0,flow_0.7,791.72,13.89
164.50,5,5_0,flow_0.6,822.90,13.89
164.50,5,5_0,flow_0.5,852.90,13.89
164.50,5,5_0,flow_1.5,879.91,13.89
164.50,5,5_0,flow_1.4,910.24,13.89
164.50,5,5_0,flow_1.3,941.25,13.89
164.50,5,5_0,flow_0.4,975.14,13.89
164.50,5,5_0,flow_1.2,1001.71,13.89
164.50,5,5_0,flow_0.3,1063.74,13.89
164.50,5,5_0,flow_0.2,1094.05,13.89
164.50,5,5_0,flow_1.1,1120.35,13.89
164.50,5,5_0,flow_0.1,1154.41,13.89
164.50,5,5_0,flow_1.0,1181.58,13.89
164.50,5,5_0,flow_0.0,1237.10,13.89
164.60,1,1_0,flow_0.45,40.99,13.78
164.60,1,1_0,flow_0.44,93.80,14.34
164.60,1,1_0,flow_0.43,141.52,13.93
164.60,1,1_0,flow_0.42,196.52,14.27
164.60,1,1_0,flow_0.41,229.51,13.16
164.60,1,1_0,flow_0.40,272.74,13.00
164.60,1,1_0,flow_0.39,330.58,13.46
164.60,1,1_0,flow_0.38,381.54,12.68
164.60,1,1_0,flow_0.37,402.04,12.62
164.60,1,1_0,flow_0.36,430.21,11.09
164.60,1,1_0,flow_0.35,507.72,9.09
164.60,1,1_0,flow_0.34,544.89,7.48
164.60,1,1_0,flow_0.33,556.20,7.17
164.60,1,1_0,flow_0.32,579.56,7.92
164.60,1,1_0,flow_0.31,598.05,8.03
164.60,1,1_0,flow_0.30,639.34,7.83
164.60,1,1_0,flow_0.29,671.09,9.67
164.60,1,1_0,flow_0.28,715.60,11.38
164.60,1,1_0,flow_0.27,768.14,12.99
164.60,2,2_0,flow_1.36,41.66,14.07
164.60,2,2_0,flow_1.35,111.84,15.01
164.60,2,2_0,flow_1.34,162.57,13.56
164.60,2,2_0,flow_1.33,224.32,13.61
164.60,2,2_0,flow_1.32,305.82,14.53
164.60,2,2_0,flow_1.31,360.17,14.14
164.60,2,2_0,flow_1.30,410.89,11.66
164.60,2,2_0,flow_1.29,431.00,11.47
164.60,2,2_0,flow_1.28,489.08,9.28
164.60,2,2_0,flow_1.27,552.81,6.92
164.60,2,2_0,flow_1.26,574.44,7.43
164.60,2,2_0,flow_1.25,625.07,7.24
164.60,2,2_0,flow_1.24,655.65,8.52
164.60,2,2_0,flow_1.23,691.65,10.62
164.60,2,2_0,flow_1.22,740.45,12.26
164.60,2,2_0,flow_1.21,796.88,13.70
164.60,3,3_0,,,
164.60,3,3_1,flow_0.26,24.72,13.89
164.60,3,3_1,flow_1.20,51.84,13.89
164.60,3,3_1,flow_0.25,85.83,13.89
164.60,3,3_1,flow_0.24,115.87,13.89
164.60,3,3_1,flow_1.19,142.34,13.89
164.60,4,4_0,flow_1.18,16.90,13.89
164.60,4,4_0,flow_1.17,47.52,13.89
164.60,4,4_0,flow_0.23,81.40,13.89
164.60,4,4_0,flow_0.22,112.38,13.89
164.60,5,5_0,flow_0.21,28.85,13.89
164.60,5,5_0,flow_0.20,59.78,13.89
164.60,5,5_0,flow_1.16,87.03,13.89
164.60,5,5_0,flow_0.19,121.48,13.89
164.60,5,5_0,flow_1.15,147.19,13.89
164.60,5,5_0,flow_0.18,182.58,13.89
164.60,5,5_0,flow_1.14,208.33,13.89
164.60,5,5_0,flow_0.17,243.52,13.89
164.60,5,5_0,flow_0.16,273.25,13.89
164.60,5,5_0,flow_1.13,300.40,13.89
164.60,5,5_0,flow_0.15,335.47,13.89
164.60,5,5_0,flow_1.12,361.29,13.89
164.60,5,5_0,flow_0.14,396.60,13.89
164.60,5,5_0,flow_1.11,422.84,13.89
164.60,5,5_0,flow_0.13,457.18,13.89
164.60,5,5_0,flow_1.10,484.66,13.89
164.60,5,5_0,flow_0.12,519.09,13.89
164.60,5,5_0,flow_1.9,545.12,13.89
164.60,5,5_0,flow_0.11,579.26,13.89
164.60,5,5_0,flow_0.10,610.39,13.89
164.60,5,5_0,flow_1.8,636.81,13.89
164.60,5,5_0,flow_1.7,667.89,13.89
164.60,5,5_0,flow_0.9,701.51,13.89
164.60,5,5_0,flow_0.8,732.58,13.89
164.60,5,5_0,flow_1.6,758.49,13.89
164.60,5,5_0,flow_0.7,793.11,13.89
164.60,5,5_0,flow_0.6,824.29,13.89
164.60,5,5_0,flow_0.5,854.28,13.89
164.60,5,5_0,flow_1.5,881.30,13.89
164.60,5,5_0,flow_1.4,911.63,13.89
164.60,5,5_0,flow_1.3,942.64,13.89
164.60,5,5_0,flow_0.4,976.53,13.89
164.60,5,5_0,flow_1.2,1003.10,13.89
164.60,5,5_0,flow_0.3,1065.13,13.89
164.60,5,5_0,flow_0.2,1095.44,13.89
164.60,5,5_0,flow_1.1,1121.74,13.89
164.60,5,5_0,flow_0.1,1155.80,13.89
164.60,5,5_0,flow_1.0,1182.97,13.89
164.60,5,5_0,flow_0.0,1238.49,13.89
164.70,1,1_0,flow_0.45,42.37,13.82
164.70,1,1_0,flow_0.44,95.23,14.28
164.70,1,1_0,flow_0.43,142.91,13.97
164.70,1,1_0,flow_0.42,197.95,14.26
164.70,1,1_0,flow_0.41,230.83,13.21
164.70,1,1_0,flow_0.40,274.03,12.95
164.70,1,1_0,flow_0.39,331.93,13.50
164.70,1,1_0,flow_0.38,382.81,12.67
164.70,1,1_0,flow_0.37,403.30,12.57
164.70,1,1_0,flow_0.36,431.32,11.05
164.70,1,1_0,flow_0.35,508.63,9.06
164.70,1,1_0,flow_0.34,545.64,7.45
164.70,1,1_0,flow_0.33,556.92,7.17
164.70,1,1_0,flow_0.32,580.35,7.92
164.70,1,1_0,flow_0.31,598.85,8.03
164.70,1,1_0,flow_0.30,640.13,7.85
164.70,1,1_0,flow_0.29,672.06,9.70
164.70,1,1_0,flow_0.28,716.74,11.41
164.70,1,1_0,flow_0.27,769.45,13.02
164.70,2,2_0,flow_1.36,43.06,14.05
164.70,2,2_0,flow_1.35,113.34,15.00
164.70,2,2_0,flow_1.34,163.93,13.61
164.70,2,2_0,flow_1.33,225.68,13.61
164.70,2,2_0,flow_1.32,307.28,14.54
164.70,2,2_0,flow_1.31,361.59,14.20
164.70,2,2_0,flow_1.30,412.06,11.62
164.70,2,2_0,flow_1.29,432.14,11.43
164.70,2,2_0,flow_1.28,490.00,9.25
164.70,2,2_0,flow_1.27,553.50,6.91
164.70,2,2_0,flow_1.26,575.18,7.42
164.70,2,2_0,flow_1.25,625.80,7.25
164.70,2,2_0,flow_1.24,656.50,8.54
164.70,2,2_0,flow_1.23,692.72,10.65
164.70,2,2_0,flow_1.22,741.68,12.28
164.70,2,2_0,flow_1.21,798.27,13.89
164.70,3,3_0,,,
164.70,3,3_1,flow_0.26,26.11,13.89
164.70,3,3_1,flow_1.20,53.23,13.89
164.70,3,3_1,flow_0.25,87.22,13.89
