timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
91.40,2,2_0,flow_1.17,190.53,12.38
91.40,2,2_0,flow_1.16,310.77,14.16
91.40,2,2_0,flow_1.15,333.85,13.79
91.40,2,2_0,flow_1.14,399.80,13.95
91.40,2,2_0,flow_1.13,465.18,10.56
91.40,2,2_0,flow_1.12,486.05,11.05
91.40,2,2_0,flow_1.11,509.89,12.03
91.40,2,2_0,flow_1.10,569.91,11.78
91.40,2,2_0,flow_1.9,641.56,9.65
91.40,2,2_0,flow_1.8,703.14,12.47
91.40,2,2_0,flow_1.7,730.58,12.86
91.40,3,3_0,,,
91.40,3,3_1,flow_1.6,12.31,13.89
91.40,3,3_1,flow_0.7,46.25,13.89
91.40,3,3_1,flow_0.6,76.80,13.89
91.40,3,3_1,flow_0.5,107.36,13.89
91.40,3,3_1,flow_1.5,134.53,13.89
91.40,4,4_0,flow_1.4,8.07,13.89
91.40,4,4_0,flow_1.3,38.62,13.89
91.40,4,4_0,flow_0.4,72.57,13.89
91.40,4,4_0,flow_1.2,99.73,13.89
91.40,5,5_0,flow_0.3,48.35,13.89
91.40,5,5_0,flow_0.2,78.91,13.89
91.40,5,5_0,flow_1.1,106.08,13.89
91.40,5,5_0,flow_0.1,140.03,13.89
91.40,5,5_0,flow_1.0,167.18,13.89
91.40,5,5_0,flow_0.0,221.82,13.89
91.50,1,1_0,flow_0.25,27.68,15.07
91.50,1,1_0,flow_0.24,78.71,14.37
91.50,1,1_0,flow_0.23,136.50,15.14
91.50,1,1_0,flow_0.22,180.31,14.20
91.50,1,1_0,flow_0.21,244.01,14.05
91.50,1,1_0,flow_0.20,267.46,13.43
91.50,1,1_0,flow_0.19,330.78,14.11
91.50,1,1_0,flow_0.18,398.61,12.14
91.50,1,1_0,flow_0.17,419.10,11.91
91.50,1,1_0,flow_0.16,439.31,11.75
91.50,1,1_0,flow_0.15,474.41,10.62
91.50,1,1_0,flow_0.14,496.82,11.48
91.50,1,1_0,flow_0.13,521.67,12.63
91.50,1,1_0,flow_0.12,613.25,10.28
91.50,1,1_0,flow_0.11,657.06,10.97
91.50,1,1_0,flow_0.10,681.14,11.41
91.50,1,1_0,flow_0.9,760.41,13.23
91.50,1,1_0,flow_0.8,790.01,13.62
91.50,2,2_0,flow_1.20,25.77,13.82
91.50,2,2_0,flow_1.19,91.18,14.29
91.50,2,2_0,flow_1.18,144.02,13.24
91.50,2,2_0,flow_1.17,191.77,12.43
91.50,2,2_0,flow_1.16,312.18,14.10
91.50,2,2_0,flow_1.15,335.23,13.79
91.50,2,2_0,flow_1.14,401.19,13.93
91.50,2,2_0,flow_1.13,466.23,10.54
91.50,2,2_0,flow_1.12,487.16,11.04
91.50,2,2_0,flow_1.11,511.10,12.03
91.50,2,2_0,flow_1.10,571.08,11.78
91.50,2,2_0,flow_1.9,642.53,9.66
91.50,2,2_0,flow_1.8,704.39,12.48
91.50,2,2_0,flow_1.7,731.87,12.87
91.50,3,3_0,,,
91.50,3,3_1,flow_1.6,13.69,13.89
91.50,3,3_1,flow_0.7,47.64,13.89
91.50,3,3_1,flow_0.6,78.19,13.89
91.50,3,3_1,flow_0.5,108.75,13.89
91.50,3,3_1,flow_1.5,135.92,13.89
91.50,4,4_0,flow_1.4,9.46,13.89
91.50,4,4_0,flow_1.3,40.01,13.89
91.50,4,4_0,flow_0.4,73.96,13.89
91.50,4,4_0,flow_1.2,101.12,13.89
