timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
8.30,2,2_0,flow_1.0,112.69,12.91
8.40,1,1_0,flow_0.2,10.82,14.29
8.40,1,1_0,flow_0.1,66.55,13.95
8.40,1,1_0,flow_0.0,128.22,14.68
8.40,2,2_0,flow_1.1,55.99,15.01
8.40,2,2_0,flow_1.0,113.98,12.94
8.50,1,1_0,flow_0.2,12.24,14.23
8.50,1,1_0,flow_0.1,67.96,14.03
8.50,1,1_0,flow_0.0,129.69,14.70
8.50,2,2_0,flow_1.1,57.49,15.02
8.50,2,2_0,flow_1.0,115.28,12.99
8.60,1,1_0,flow_0.2,13.67,14.28
8.60,1,1_0,flow_0.1,69.35,13.98
8.60,1,1_0,flow_0.0,131.15,14.61
8.60,2,2_0,flow_1.1,58.99,15.00
8.60,2,2_0,flow_1.0,116.58,12.98
8.70,1,1_0,flow_0.2,15.09,14.21
8.70,1,1_0,flow_0.1,70.76,14.01
8.70,1,1_0,flow_0.0,132.61,14.61
8.70,2,2_0,flow_1.1,60.48,14.96
8.70,2,2_0,flow_1.0,117.87,12.91
8.80,1,1_0,flow_0.2,16.51,14.19
8.80,1,1_0,flow_0.1,72.16,14.00
8.80,1,1_0,flow_0.0,134.08,14.69
8.80,2,2_0,flow_1.1,61.98,14.93
8.80,2,2_0,flow_1.0,119.17,13.00
8.90,1,1_0,flow_0.2,17.94,14.31
8.90,1,1_0,flow_0.1,73.56,14.02
8.90,1,1_0,flow_0.0,135.55,14.71
8.90,2,2_0,flow_1.1,63.47,14.92
8.90,2,2_0,flow_1.0,120.47,12.94
9.00,1,1_0,flow_0.2,19.37,14.26
9.00,1,1_0,flow_0.1,74.96,14.03
9.00,1,1_0,flow_0.0,137.01,14.59
9.00,2,2_0,flow_1.1,64.97,14.99
9.00,2,2_0,flow_1.0,121.77,13.00
9.10,1,1_0,flow_0.2,20.79,14.22
9.10,1,1_0,flow_0.1,76.36,14.03
9.10,1,1_0,flow_0.0,138.48,14.67
9.10,2,2_0,flow_1.1,66.47,15.02
9.10,2,2_0,flow_1.0,123.07,13.01
9.20,1,1_0,flow_0.2,22.22,14.27
9.20,1,1_0,flow_0.1,77.76,13.93
9.20,1,1_0,flow_0.0,139.94,14.64
9.20,2,2_0,flow_1.1,67.97,15.00
9.20,2,2_0,flow_1.0,124.37,13.02
9.30,1,1_0,flow_0.2,23.65,14.31
9.30,1,1_0,flow_0.1,79.15,13.95
9.30,1,1_0,flow_0.0,141.41,14.65
9.30,2,2_0,flow_1.1,69.46,14.95
9.30,2,2_0,flow_1.0,125.67,12.95
9.40,1,1_0,flow_0.2,25.07,14.22
9.40,1,1_0,flow_0.1,80.55,13.94
9.40,1,1_0,flow_0.0,142.88,14.70
9.40,2,2_0,flow_1.1,70.96,14.98
9.40,2,2_0,flow_1.0,126.96,12.92
9.50,1,1_0,flow_0.2,26.49,14.19
9.50,1,1_0,flow_0.1,81.94,13.94
9.50,1,1_0,flow_0.0,144.34,14.61
9.50,2,2_0,flow_1.1,72.47,15.03
9.50,2,2_0,flow_1.0,128.26,13.02
9.60,1,1_0,flow_0.2,27.91,14.22
9.60,1,1_0,flow_0.1,83.33,13.91
9.60,1,1_0,flow_0.0,145.81,14.68
9.60,2,2_0,flow_1.1,73.96,14.95
9.60,2,2_0,flow_1.0,129.55,12.94
9.70,1,1_0,flow_0.2,29.34,14.31
9.70,1,1_0,flow_0.1,84.72,13.91
9.70,1,1_0,flow_0.0,147.27,14.63
9.70,2,2_0,flow_1.1,75.46,14.97
9.70,2,2_0,flow_1.0,130.85,12.98
9.80,1,1_0,flow_0.2,30.76,14.19
9.80,1,1_0,flow_0.1,86.12,13.94
9.80,1,1_0,flow_0.0,148.73,14.60
9.80,2,2_0,flow_1.1,76.95,14.95
9.80,2,2_0,flow_1.0,132.15,12.98
9.90,1,1_0,flow_0.2,32.19,14.28
9.90,1,1_0,flow_0.1,87.51,13.98
9.90,1,1_0,flow_0.0,150.20,14.65
9.90,2,2_0,flow_1.1,78.45,14.94
9.90,2,2_0,flow_1.0,133.45,13.01
10.00,1,1_0,flow_0.2,33.62,14.30
10.00,1,1_0,flow_0.1,88.91,13.94
10.00,1,1_0,flow_0.0,151.67,14.70
10.00,2,2_0,flow_1.2,5.10,11.54
10.00,2,2_0,flow_1.1,79.94,14.96
10.00,2,2_0,flow_1.0,134.75,13.03
10.10,1,1_0,flow_0.2,35.04,14.19
