timestep_time,edge_id,lane_id,vehicle_id,vehicle_pos,vehicle_speed
36.10,-8867312#4.11,-8867312#4.11_0,0_5,136.3213004436,14.1901670131
36.10,115872656#11.5,115872656#11.5_0,0_14,30.8235638624,11.9790132088
36.10,115872656#11.5,115872656#11.5_1,0_0,126.5937067757,22.4438699915
36.10,834845345#1,834845345#1_0,0_22,10.1006548775,20.2004858877
36.10,834845345#1,834845345#1_0,0_20,94.3885441909,25.1447536297
36.10,834845345#1,834845345#1_0,0_17,185.4945954609,21.2862589176
36.10,834845345#1,834845345#1_0,0_16,249.1061438424,23.8470078090
36.10,834845345#1,834845345#1_0,0_15,293.6774051469,24.8304036775
36.10,834845345#1,834845345#1_1,,,
36.10,834845345#3.0,834845345#3.0_0,0_12,2.1596879236,24.0740758533
36.10,834845345#3.0,834845345#3.0_1,,,
36.10,834845345#4,834845345#4_0,0_7,5.9456685941,24.5456343200
36.10,834845345#4,834845345#4_1,,,
36.10,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_0,,,
36.10,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_1,,,
36.10,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_9,49.9447041274,16.4062611624
36.10,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_8,80.4890382741,15.5770267502
36.10,834845345#7,834845345#7_0,0_2,62.1530478134,17.8027641575
36.10,834845345#7,834845345#7_1,,,
36.10,8867312#6.18,8867312#6.18_0,0_4,60.7505195487,13.0361870007
36.10,8868160#0.7,8868160#0.7_0,0_21,60.9745252522,29.0408855396
36.10,8868160#0.7,8868160#0.7_1,,,
36.10,gneE22,gneE22_0,0_18,3.4250887011,24.9218605788
36.10,gneE22,gneE22_1,,,
36.10,gneE23,gneE23_0,0_11,10.4425455019,16.2352792627
36.10,gneE23,gneE23_1,,,
36.20,:6018664060_0,:6018664060_0_0,,,
36.20,:6018664060_0,:6018664060_0_1,0_19,13.8940632088,15.2031086330
36.20,:6018664060_0,:6018664060_0_2,,,
36.20,:6018699306_1,:6018699306_1_0,0_10,17.6684999613,17.7794249974
36.20,:6018699306_1,:6018699306_1_1,,,
36.20,:64208332_1,:64208332_1_0,,,
36.20,:64208332_1,:64208332_1_1,0_6,11.9014534015,22.4910534098
36.20,-638636924#1.9,-638636924#1.9_0,0_13,54.5484561222,0.0000000000
36.20,-638636924#1.9,-638636924#1.9_1,,,
36.20,115872656#11.5,115872656#11.5_0,0_14,32.0291168899,12.1320473412
36.20,115872656#11.5,115872656#11.5_1,0_0,128.8380937748,22.4438699915
36.20,834845345#1,834845345#1_0,0_22,12.1206874596,20.2001657542
36.20,834845345#1,834845345#1_0,0_20,96.9020990950,25.1263444519
36.20,834845345#1,834845345#1_0,0_17,187.6232110144,21.2860521515
36.20,834845345#1,834845345#1_0,0_16,251.4909707402,23.8495301482
36.20,834845345#1,834845345#1_0,0_15,296.1606687902,24.8348691881
36.20,834845345#1,834845345#1_1,,,
36.20,834845345#3.0,834845345#3.0_0,0_12,4.5630261853,23.9926893802
36.20,834845345#3.0,834845345#3.0_1,,,
36.20,834845345#4,834845345#4_0,0_7,8.4002563682,24.5461211619
36.20,834845345#4,834845345#4_1,,,
36.20,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_0,,,
36.20,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_1,,,
36.20,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_9,51.5832337689,16.3643316681
36.20,834845345#4-AddedOnRampEdge,834845345#4-AddedOnRampEdge_2,0_8,82.0471251281,15.5847103297
